	Gene.names	Protein.IDs	Intensity.01	Intensity.02	Intensity.03	Intensity.04	Intensity.05	Intensity.06	Intensity.07	Intensity.08	Intensity.09	Intensity.10	Intensity.11	Intensity.12	Intensity.13	Intensity.14	Intensity.15
709	SKI6	P46948	33158000.0	30326000.0	0.0	0.0	39995000.0	7294400.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
710	PHO86	P46956	0.0	0.0	20796000.0	21705000.0	0.0	0.0	19372000.0	0.0	0.0	11348000.0	0.0	12126000.0	13788000.0	43687000.0	0.0
711	RPE1	P46969	37922000.0	0.0	0.0	44900000.0	0.0	45488000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41621000.0
712	PMT4	P46971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18203000.0	0.0	34917000.0	26827000.0
713	RSF2	P46974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8386600.0	0.0	0.0	0.0
714	MNN11	P46985	39684000.0	0.0	137960000.0	30292000.0	15425000.0	30001000.0	16767000.0	0.0	0.0	0.0	0.0	21172000.0	14472000.0	40643000.0	43830000.0
715	RPL17B	P46990	2930200000.0	192230000.0	3875700000.0	2615200000.0	1207400000.0	2602800000.0	2181800000.0	167690000.0	839240000.0	1544800000.0	459650000.0	280430000.0	645490000.0	3807400000.0	5861400000.0
716	SET2	P46995	16922000.0	0.0	0.0	43069000.0	0.0	0.0	0.0	0.0	54471000.0	50116000.0	0.0	0.0	28089000.0	0.0	0.0
717	MTC1	P47018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22753000.0	0.0	0.0	0.0	0.0	0.0
718	0.0	P47044	0.0	7133600.0	11479000.0	14148000.0	0.0	0.0	0.0	0.0	0.0	16680000.0	0.0	14203000.0	0.0	17818000.0	0.0
719	VTC4	P47075	13490000.0	0.0	37048000.0	10237000.0	0.0	0.0	0.0	0.0	0.0	9551800.0	0.0	0.0	7819600.0	31669000.0	35797000.0
720	CCT8	P47079	16776000.0	0.0	232000000.0	69234000.0	16991000.0	19386000.0	21280000.0	0.0	0.0	28634000.0	0.0	0.0	20173000.0	169860000.0	134500000.0
721	HAM1	P47119	0.0	0.0	10733000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
722	LIA1	P47120	112420000.0	23462000.0	19759000.0	68320000.0	37085000.0	95451000.0	29589000.0	18503000.0	49280000.0	199290000.0	144890000.0	133010000.0	68486000.0	59051000.0	60182000.0
723	NPA3	P47122	9548700.0	0.0	0.0	0.0	0.0	9183900.0	0.0	0.0	0.0	0.0	0.0	12919000.0	0.0	22134000.0	19846000.0
724	HOC1	P47124	0.0	0.0	30820000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26528000.0	24391000.0
725	RSM26	P47141	0.0	0.0	0.0	0.0	1070700000.0	283790000.0	0.0	0.0	0.0	2374600.0	383770000.0	0.0	622040000.0	0.0	971070000.0
726	ADO1	P47143	112900000.0	16141000.0	107710000.0	86153000.0	17519000.0	116960000.0	108980000.0	18150000.0	71291000.0	45900000.0	0.0	192880000.0	83081000.0	271140000.0	214920000.0
727	RSM7	P47150	0.0	0.0	0.0	0.0	1162500000.0	222640000.0	0.0	0.0	0.0	0.0	164230000.0	0.0	666310000.0	0.0	613850000.0
728	BAT2	P47176	0.0	6437800.0	0.0	17676000.0	0.0	54491000.0	0.0	10225000.0	0.0	14292000.0	0.0	17843000.0	42878000.0	52172000.0	0.0
729	FAA4	P47912	102710000.0	25002000.0	198290000.0	81143000.0	11488000.0	74046000.0	96088000.0	31460000.0	48757000.0	90756000.0	62240000.0	86803000.0	72255000.0	151720000.0	144700000.0
730	GCV1	P48015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10347000.0	0.0
731	RPS7B	P48164	577240000.0	462900000.0	1731400000.0	1040700000.0	560490000.0	742780000.0	687910000.0	325570000.0	387710000.0	1209100000.0	408940000.0	909480000.0	584590000.0	1904600000.0	1449700000.0
732	TCB2	P48231;Q12466	7235300.0	0.0	127850000.0	0.0	4849400.0	0.0	8592300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24249000.0
733	MTR3	P48240	64341000.0	55304000.0	0.0	0.0	67672000.0	0.0	0.0	11724000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
734	HGH1	P48362	0.0	0.0	0.0	13541000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23573000.0
735	LYS20	P48570	16606000.0	16247000.0	124440000.0	38899000.0	7108600.0	42490000.0	0.0	11847000.0	0.0	143230000.0	90341000.0	108010000.0	51621000.0	153740000.0	155520000.0
736	RPS12	P48589	914990000.0	1065500000.0	869450000.0	584590000.0	934670000.0	1571100000.0	724500000.0	307640000.0	557590000.0	1696600000.0	695020000.0	2007500000.0	1336800000.0	1966500000.0	1284300000.0
737	VMA10	P48836	75057000.0	0.0	0.0	34070000.0	0.0	55350000.0	14667000.0	0.0	0.0	37647000.0	121150000.0	115890000.0	75466000.0	0.0	0.0
738	ASN1	P49089	62311000.0	0.0	233880000.0	26161000.0	8316700.0	0.0	24595000.0	0.0	31877000.0	53266000.0	31623000.0	47945000.0	18572000.0	164780000.0	0.0
739	ASN2	P49090	64199000.0	12044000.0	111260000.0	55972000.0	13006000.0	47577000.0	53577000.0	5491900.0	14119000.0	87667000.0	42886000.0	95351000.0	53247000.0	174960000.0	112860000.0
740	RPL37A	P49166	49427000.0	0.0	0.0	0.0	0.0	0.0	99270000.0	0.0	31198000.0	145750000.0	0.0	0.0	0.0	0.0	0.0
741	RPL38	P49167	889090000.0	608980000.0	3153200000.0	912490000.0	1381900000.0	1270100000.0	1108800000.0	526900000.0	844980000.0	1662700000.0	1045400000.0	884270000.0	1112700000.0	1586400000.0	2234700000.0
742	TOM22	P49334	17186000.0	9516400.0	24037000.0	21067000.0	0.0	44618000.0	12344000.0	9548300.0	14901000.0	43851000.0	21148000.0	43042000.0	28694000.0	43207000.0	33448000.0
743	APT1	P49435	0.0	0.0	33737000.0	17878000.0	0.0	26269000.0	17801000.0	0.0	0.0	37471000.0	0.0	14304000.0	23093000.0	60840000.0	0.0
744	RNR4	P49723	0.0	0.0	0.0	24985000.0	0.0	46154000.0	0.0	0.0	0.0	83007000.0	39354000.0	41922000.0	0.0	120370000.0	0.0
745	NIT3	P49954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5366400.0	0.0	0.0	13336000.0	0.0
746	PHB2	P50085	14250000.0	0.0	53365000.0	15155000.0	0.0	17478000.0	43043000.0	0.0	0.0	0.0	13186000.0	0.0	0.0	46723000.0	61246000.0
747	MIC26	P50087	0.0	0.0	0.0	12438000.0	0.0	8694800.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17283000.0
748	IMD4	P50094	25894000.0	8234500.0	58075000.0	44199000.0	23306000.0	16719000.0	15000000.0	0.0	0.0	15981000.0	9288800.0	14431000.0	0.0	87076000.0	48415000.0
749	IMD3	P50095;P38697;P39567	398540000.0	103680000.0	628740000.0	351420000.0	238580000.0	325280000.0	164950000.0	103300000.0	225910000.0	310900000.0	294920000.0	332410000.0	254400000.0	587970000.0	656590000.0
750	MNN10	P50108	0.0	0.0	42161000.0	0.0	0.0	0.0	6874200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
751	RIB4	P50861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12731000.0	0.0
752	FOL2	P51601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6009400.0
753	SKP1	P52286	0.0	0.0	0.0	0.0	0.0	24354000.0	0.0	6541200.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
754	YKE2	P52553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11339000.0	10176000.0	0.0	0.0	0.0	0.0
755	ACS2	P52910	233800000.0	357860000.0	1140800000.0	371980000.0	109570000.0	574830000.0	534520000.0	101580000.0	337650000.0	331010000.0	187460000.0	367660000.0	220000000.0	1055800000.0	654590000.0
756	UFD1	P53044	0.0	57163000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31786000.0	0.0	0.0	0.0	0.0
