Protein.IDs	Gene.names	Intensity.01	Intensity.02	Intensity.03	Intensity.04	Intensity.05	Intensity.06	Intensity.07	Intensity.08	Intensity.09	Intensity.10	Intensity.11	Intensity.12	Intensity.13	Intensity.14	Intensity.15	LFQ.intensity.01	LFQ.intensity.02	LFQ.intensity.03	LFQ.intensity.04	LFQ.intensity.05	LFQ.intensity.06	LFQ.intensity.07	LFQ.intensity.08	LFQ.intensity.09	LFQ.intensity.10	LFQ.intensity.11	LFQ.intensity.12	LFQ.intensity.13	LFQ.intensity.14	LFQ.intensity.15	MS.MS.count.01	MS.MS.count.02	MS.MS.count.03	MS.MS.count.04	MS.MS.count.05	MS.MS.count.06	MS.MS.count.07	MS.MS.count.08	MS.MS.count.09	MS.MS.count.10	MS.MS.count.11	MS.MS.count.12	MS.MS.count.13	MS.MS.count.14	MS.MS.count.15	MS.MS.count
Q04491	SEC13	86349000	47625000	279370000	52185000	39745000	78761000	67559000	15543000	37482000	121260000	44995000	107500000	44733000	163710000	120550000	35434000	30475000	49187000	28936000	29846000	31304000	32237000	0	31564000	35381000	27950000	30609000	26450000	39732000	34513000	3	3	9	2	3	3	3	1	2	3	2	4	3	4	4	49
Q04660	ERB1	87184000	25330000	142410000	31739000	24836000	12411000	47797000	7467000	10611000	35643000	12388000	54460000	12728000	101980000	76755000	24895000	21945000	27349000	20899000	18342000	0	23273000	0	0	17603000	0	20993000	0	21785000	17113000	5	2	5	2	2	1	3	1	1	2	1	3	1	4	4	37
Q04867		0	0	0	0	0	0	0	0	0	0	0	0	2627200	0	5759300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2
Q04869		0	0	21690000	0	0	0	0	0	0	0	0	0	0	27521000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2
Q04894	ADH6	0	0	0	0	0	0	0	0	0	0	20665000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Q04934	IVY1	771100000	577720000	1998100000	1106100000	625100000	825860000	1064500000	392750000	820560000	967360000	642700000	1110800000	818820000	866160000	1278200000	626890000	727320000	750760000	595180000	773370000	446480000	992700000	460970000	725920000	534320000	405860000	602430000	696030000	4.49e+08	5.15e+08	3	3	10	5	3	5	4	5	4	4	5	4	3	4	6	68
Q04947	RTN1	102230000	55833000	141090000	113810000	68786000	120900000	0	0	91438000	0	87833000	0	103650000	0	150510000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	0	0	1	0	1	0	1	0	1	11
Q05016		68086000	15787000	88937000	45828000	34968000	88648000	64735000	0	44856000	113230000	97178000	86562000	73881000	86199000	143350000	35705000	0	25034000	27717000	27672000	40434000	31511000	0	35491000	36268000	45110000	33080000	32730000	24671000	29302000	3	1	3	2	3	2	3	0	3	4	3	4	3	3	5	42
Q05022	RRP5	77969000	10391000	250730000	71307000	72691000	58501000	47852000	0	4924100	31740000	14816000	84351000	34233000	194410000	167890000	26513000	0	37621000	21484000	36097000	24129000	22223000	0	0	15581000	0	22329000	17801000	26359000	27546000	4	1	11	4	4	4	4	0	1	4	1	6	2	9	5	60
Q05123	ARP9	0	0	43167000	0	42354000	0	56028000	0	0	0	0	74681000	12523000	0	5294200	0	0	16761000	0	0	0	39844000	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	2	1	0	1	9
Q05359	ERP1	0	0	31815000	0	0	0	0	0	0	0	0	0	0	11172000	19701000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	3
Q05506;P38714		45621000	18978000	152630000	103240000	18739000	141470000	60940000	0	28236000	123440000	70983000	110940000	48297000	108510000	174160000	36275000	0	34687000	30179000	0	34864000	28968000	0	37917000	37613000	33923000	33360000	32124000	37195000	36699000	2	1	6	4	1	6	3	0	2	5	4	5	2	4	4	49
Q05515	SVF1	0	0	0	0	0	20121000	0	0	0	0	0	0	0	33930000	26159000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3
Q05636	RRP45	26614000	49215000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Q05775	HCR1	10515000	0	0	0	0	0	0	0	0	18652000	23762000	22966000	30658000	17582000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	6
Q05905	HRI1	0	0	16660000	0	0	0	10802000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2
Q05911	ADE13	63059000	20822000	68199000	80543000	10010000	133180000	30224000	7525400	26708000	72639000	96033000	86074000	67478000	131290000	126030000	21874000	19106000	18395000	24331000	0	32333000	19722000	0	21245000	26673000	37534000	33971000	28775000	20691000	25749000	4	2	3	4	1	5	2	1	2	3	4	3	3	5	4	46
Q05946	UTP13	0	0	0	0	0	0	5730000	0	0	0	0	0	0	0	8426300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2
Q05998;Q08579	THI7;THI72	0	0	27050000	0	0	0	0	0	0	0	0	0	0	9696800	21228000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	3
Q06103	RPN7	0	10052000	39939000	0	0	0	19256000	0	0	0	0	0	0	0	16663000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	5
Q06142	KAP95	0	116840000	95732000	0	0	0	0	9939200	0	92336000	0	80583000	0	0	0	0	120040000	0	0	0	0	0	0	0	56172000	0	0	0	0	0	0	3	1	0	0	0	0	1	0	2	0	1	0	0	0	8
